dt,dt_iso,timezone,city_name,lat,lon,temp,rain_1h,rain_3h
1586001600,2020-04-04 12:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.55,,
1586005200,2020-04-04 13:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.93,,
1586008800,2020-04-04 14:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.73,,
1586012400,2020-04-04 15:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.73,,
1586016000,2020-04-04 16:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.83,,
1586019600,2020-04-04 17:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.51,,
1586023200,2020-04-04 18:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.86,,
1586026800,2020-04-04 19:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.87,,
1586030400,2020-04-04 20:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.67,,
1586034000,2020-04-04 21:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.45,,
1586037600,2020-04-04 22:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.9,,
1586041200,2020-04-04 23:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.08,,
1586044800,2020-04-05 00:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.37,,
1586048400,2020-04-05 01:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.83,,
1586052000,2020-04-05 02:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.42,,
1586055600,2020-04-05 03:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.63,,
1586059200,2020-04-05 04:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.23,,
1586062800,2020-04-05 05:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,43.18,,
1586066400,2020-04-05 06:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,44.38,,
1586070000,2020-04-05 07:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.46,,
1586073600,2020-04-05 08:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,45.79,,
1586077200,2020-04-05 09:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,46.53,,
1586080800,2020-04-05 10:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.15,,
1586084400,2020-04-05 11:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50,,
1586088000,2020-04-05 12:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,51.46,,
1586091600,2020-04-05 13:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,52.54,,
1586095200,2020-04-05 14:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,51.93,,
1586098800,2020-04-05 15:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.07,,
1586102400,2020-04-05 16:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.77,,
1586106000,2020-04-05 17:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.89,,
1586109600,2020-04-05 18:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.54,,
1586113200,2020-04-05 19:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.21,,
1586116800,2020-04-05 20:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,47.64,,
1586120400,2020-04-05 21:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.33,,
1586124000,2020-04-05 22:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,48.49,,
1586127600,2020-04-05 23:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.82,0.5,
1586131200,2020-04-06 00:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.1,0.5,
1586134800,2020-04-06 01:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.19,0.5,
1586138400,2020-04-06 02:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.8,0.5,
1586142000,2020-04-06 03:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.84,,
1586145600,2020-04-06 04:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,49.23,,
1586149200,2020-04-06 05:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.13,,
1586152800,2020-04-06 06:00:00 +0000 UTC,3600,Aberdeen,57.149717,-2.094278,50.74,,
